Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Max Gross Exposure [%],Symbol,Strategy
-0.00041354351274997724,-8.222309856274672,0.0004507935129538509,18.26086956521739,-1.4753421358694725e-06,0.0007975001143228039,AAVEBTC,vwap_reversion
-1.0270007099999548e-06,-6.00570844044355,1.0939859436120969e-06,12.5,-4.059116990927236e-09,2.2900000000786878e-06,ADABTC,vwap_reversion
-1.494479499999807e-08,-0.66526652637218,7.107963994454747e-08,77.14285714285715,1.7429142857200025e-11,4.0000000000240074e-07,ADXBTC,vwap_reversion
-1.3400524499999182e-07,-2.0550627472336545,3.1089496131474685e-07,82.46753246753246,-8.632947564934313e-10,9.174999999943615e-07,ALGOBTC,vwap_reversion
5.890631374999981e-08,5.824086434547599,2.021008071961989e-08,94.28571428571428,1.8283581428571415e-09,6.999999999861491e-08,ANKRBTC,vwap_reversion
-7.449376012499557e-06,-5.550287292028835,7.624376323178694e-06,51.037344398340245,-1.535802370331861e-08,1.8825000005317483e-05,APTBTC,vwap_reversion
-4.27094299999964e-07,-4.507675076855306,6.163482026977363e-07,33.77483443708609,-2.5019281539733307e-09,1.5600000001046493e-06,ARBBTC,vwap_reversion
-2.208865624999966e-08,-1.4464341213878558,4.12873362151059e-08,64.70588235294117,-1.0698507352938862e-10,1.9750000000058531e-07,ARDRBTC,vwap_reversion
-3.7557012874997256e-07,-1.747285726504412,1.138482645046679e-06,69.23076923076923,-2.26790416666648e-09,2.8225000001195376e-06,ARKMBTC,vwap_reversion
-6.055956037499774e-06,-7.034389971336412,6.155955929898482e-06,20.97902097902098,-3.033513671328519e-08,1.522500002239903e-05,ATOMBTC,vwap_reversion
-2.0167686599999815e-05,-5.09735031438276,2.8817686626325667e-05,78.18181818181819,-1.0818092454545155e-07,3.0250000013730513e-05,AUCTIONBTC,vwap_reversion
-4.675337653749799e-05,-11.133068271727142,4.6778376514566844e-05,6.563706563706563,-1.761793791023096e-07,8.377500010530886e-05,AVAXBTC,vwap_reversion
-3.6402451999999665e-07,-3.5919210967403425,5.266388994683223e-07,64.0,-6.398601599999897e-09,1.3150000000259469e-06,AXLBTC,vwap_reversion
